Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,MarketCap,Parameter1,Parameter2,Parameter3,ReturnClose
2000-07-05,1469.540039,1469.540039,1442.449951,1446.22998,1446.22998,1019300000,2000,7,5,1497902161752.7,0.010270908322907779,-0.015862146237173635,1.2555875193626909,-0.015862146237173635
2000-07-06,1446.22998,1461.650024,1439.560059,1456.670044,1456.670044,947300000,2000,7,6,1370013660054.0,-0.015862146237173635,0.007218813151695258,-0.07063671146865491,0.007218813151695258
2000-07-07,1456.670044,1484.119995,1456.670044,1478.900024,1478.900024,931700000,2000,7,7,1357179479994.8,0.007218813151695258,0.01526082045248689,-0.0164678560118231,0.01526082045248689
2000-07-10,1478.900024,1486.560059,1474.76001,1475.619995,1475.619995,838700000,2000,7,10,1240353450128.8,0.01526082045248689,-0.0022178842022927414,-0.09981753783406677,-0.0022178842022927414
2000-07-11,1475.619995,1488.77002,1470.47998,1480.880005,1480.880005,980500000,2000,7,11,1446845405097.5,-0.0022178842022927414,0.003564610142057667,0.16907118159055678,0.003564610142057667
2000-07-12,1480.880005,1497.689941,1480.880005,1492.920044,1492.920044,1001200000,2000,7,12,1482657061006.0,0.003564610142057667,0.008130327210407629,0.021111677715451194,0.008130327210407629
2000-07-13,1492.920044,1501.390015,1489.650024,1495.839966,1495.839966,1026800000,2000,7,13,1532930301179.2,0.008130327210407629,0.001955846203375078,0.025569316819816112,0.001955846203375078
2000-07-14,1495.839966,1509.98999,1494.560059,1509.97998,1509.97998,960600000,2000,7,14,1436903871339.6,0.001955846203375078,0.009452892235398469,-0.06447214647448385,0.009452892235398469
2000-07-17,1509.97998,1517.319946,1505.26001,1510.48999,1510.48999,906000000,2000,7,17,1368041861880.0,0.009452892235398469,0.00033775944499603305,-0.05683947532792,0.00033775944499603305
2000-07-18,1510.48999,1510.48999,1491.349976,1493.73999,1493.73999,908300000,2000,7,18,1371978057917.0,0.00033775944499603305,-0.011089116850089176,0.0025386313465782795,-0.011089116850089176
2000-07-19,1493.73999,1495.630005,1479.920044,1481.959961,1481.959961,909400000,2000,7,19,1358407146906.0,-0.011089116850089176,-0.007886264730717962,0.001211053616646529,-0.007886264730717962
2000-07-20,1481.959961,1501.920044,1481.959961,1495.569946,1495.569946,1064600000,2000,7,20,1577694574480.6,-0.007886264730717962,0.009183773757839075,0.1706619749285243,0.009183773757839075
2000-07-21,1495.569946,1495.569946,1477.910034,1480.189941,1480.189941,968300000,2000,7,21,1448160378711.8,0.009183773757839075,-0.010283708255260704,-0.09045650948713135,-0.010283708255260704
2000-07-24,1480.189941,1485.880005,1463.800049,1464.290039,1464.290039,880300000,2000,7,24,1303011205062.3,-0.010283708255260704,-0.010741798440582762,-0.09088092533305792,-0.010741798440582762
2000-07-25,1464.290039,1476.22998,1464.290039,1474.469971,1474.469971,969400000,2000,7,25,1419482763806.6,-0.010741798440582762,0.0069521281500706245,0.10121549471770996,0.0069521281500706245
2000-07-26,1474.469971,1474.469971,1452.420044,1452.420044,1452.420044,1235800000,2000,7,26,1822149990161.8,0.0069521281500706245,-0.014954476817893747,0.2748091603053435,-0.014954476817893747
2000-07-27,1452.420044,1464.910034,1445.329956,1449.619995,1449.619995,1156400000,2000,7,27,1679578538881.5999,-0.014954476817893747,-0.0019278507010193069,-0.06424987862113607,-0.0019278507010193069
